Layers,Convex (ideal),Convex (shots),Convex (noisy),Two-stage (ideal),Two-stage (shots),Two-stage (noisy),Nonconvex (ideal),Nonconvex (shots),Nonconvex (noisy)
1,0.7440274782892193,0.7474999999999999,0.7303944427472254,0.749999990375881,0.751125,0.7360332991409272,0.7499999972506735,0.753125,0.7360333737197695
2,0.609852932073647,0.60725,0.6037158201891485,0.6249999868398811,0.6185,0.6180166410998309,0.624999972237273,0.617,0.6180166337307055
3,0.4999909153059727,0.496625,0.4999914230391029,0.7723943929121988,0.76725,0.7597076681702972,0.7499999615286148,0.749125,0.7378443943519153
4,0.7294571435400932,0.7355,0.7166371792645378,0.8535528378739445,0.8554999999999999,0.836362335567852,0.8535534664925359,0.8544999999999999,0.8363629303641982
5,0.6101301654504874,0.60775,0.603977910613362,0.8535532089943374,0.860625,0.836362618292785,0.8535529270175164,0.8607499999999999,0.8363623745416011
6,0.4999168350847966,0.49887499999999996,0.49992132192343686,0.8535533487436231,0.8525,0.8363626857681791,0.81863245483349,0.81525,0.8036941253519752
7,0.7068780760531688,0.711125,0.6953196535129516,0.818631643635267,0.8105,0.8036933807901019,0.8017763188847035,0.80325,0.7861977653689936
8,0.5964034202185903,0.5934999999999999,0.5909523608864264,0.8535530237503071,0.853125,0.8363624284421378,0.8535408678865823,0.851375,0.8363507722397759
9,0.5036313553872502,0.5005,0.5034780749213656,0.8535497658898832,0.848125,0.8363596069419428,0.757008904967214,0.758125,0.7453055982702879
10,0.5000289261469528,0.49962500000000004,0.5000229607985527,0.8535531841183489,0.8545,0.8363627449645552,0.8534548307248775,0.857,0.8362684314433289
